62027.1
{0, 5.55556, 5.55556}	{113.391, 276.772, -45.2497}
{0, 5.55556, 6.66667}	{-34.9006, -85.9603, 196.324}
{0, 5.55556, 7.77778}	{-544.655, -106.85, 84.0076}
{0, 5.55556, 8.88889}	{-332.079, -53.023, 418.42}
{0, 5.55556, 10}	{12.7412, 112.022, 377.725}
{0, 6.66667, 0}	{279.022, -421.164, 51.2166}
{0, 6.66667, 1.11111}	{150.916, -200.099, 168.307}
{0, 6.66667, 2.22222}	{9.05641, -34.894, -242.613}
{0, 6.66667, 3.33333}	{-305.68, 242.957, -58.275}
{0, 6.66667, 4.44444}	{-309.707, -2.18955, 22.6443}
{0, 6.66667, 5.55556}	{51.1699, 77.0254, 167.402}
{0, 6.66667, 6.66667}	{246.834, -104.878, -55.9441}
{0, 6.66667, 7.77778}	{-1.50269, 26.4143, 392.897}
{0, 6.66667, 8.88889}	{-267.949, -47.2585, -192.491}
{0, 6.66667, 10}	{8.36499, -3.64081, -251.825}
{0, 7.77778, 0}	{71.6455, -61.4301, -195.794}
{0, 7.77778, 1.11111}	{-242.853, 349.504, -167.722}
{0, 7.77778, 2.22222}	{-160.847, -28.012, -327.963}
{0, 7.77778, 3.33333}	{-315.096, 212.322, -53.1408}
{0, 7.77778, 4.44444}	{-606.296, 39.5687, -26.5205}
{0, 7.77778, 5.55556}	{-366.966, 4.93274, -455.906}
{0, 7.77778, 6.66667}	{-58.6673, 378.928, 433.055}
{0, 7.77778, 7.77778}	{-12.5212, 229.628, -205.603}
{0, 7.77778, 8.88889}	{160.225, -66.9348, -292.526}
{0, 7.77778, 10}	{-176.376, 169.114, -76.4956}
{0, 8.88889, 0}	{-84.0842, 97.4466, -322.946}
{0, 8.88889, 1.11111}	{-20.8695, 195.24, 121.505}
{0, 8.88889, 2.22222}	{282.494, -184.694, -494.881}
{0, 8.88889, 3.33333}	{-202.008, -191.478, -96.8767}
{0, 8.88889, 4.44444}	{-343.007, 570.738, -43.1954}
{0, 8.88889, 5.55556}	{61.373, 183.265, -52.6638}
{0, 8.88889, 6.66667}	{-139.702, -229.98, -157.315}
{0, 8.88889, 7.77778}	{285.653, -480.056, 226.609}
{0, 8.88889, 8.88889}	{473.681, -35.4996, -35.0272}
